Nombre serie,Unidades,Tema dataset,Frecuencia,Cantidad,Detalles,IDs
Datos pozos y metros perforados,Metros,Actividad,A,5,Metros perforados Avanzada | Metros perforados Servicio | Metros perforados Explotación | Metros perforados Exploración | Metros perforados Total general,366.1_METROS_PERADA__26 | 366.1_METROS_PERCIO__26 | 366.1_METROS_PERION_II__29 | 366.1_METROS_PERION__29 | 366.1_METROS_PERRAL__31
Datos pozos y metros perforados,Metros,Actividad,M,5,Metros perforados Avanzada | Metros perforados Servicio | Metros perforados Explotación | Metros perforados Exploración | Metros perforados Total general,366.3_METROS_PERADA__26 | 366.3_METROS_PERCIO__26 | 366.3_METROS_PERION_II__29 | 366.3_METROS_PERION__29 | 366.3_METROS_PERRAL__31
Datos pozos y metros perforados,Metros,Actividad,T,5,Metros perforados Avanzada | Metros perforados Servicio | Metros perforados Explotación | Metros perforados Exploración | Metros perforados Total general,366.2_METROS_PERADA__26 | 366.2_METROS_PERCIO__26 | 366.2_METROS_PERION_II__29 | 366.2_METROS_PERION__29 | 366.2_METROS_PERRAL__31
Distribución funcional del ingreso en el total de la economía y en el sector privado. Como porcentaje del Producto Interno Bruto a costo de factores. Valores trimestrales,Porcentaje,Empleo e Ingresos,T,5,Excedente bruto de explotación del total de la economía | Ingreso mixto bruto del total de la economía | Impuestos netos de subsidios a la actividad | PIB a costo de factores | Remuneración del trabajo asalariado del total de la economía,53.1_EBE_0_0_27 | 53.1_TIMB_0_0_25 | 53.1_TINSA_0_0_41 | 53.1_TPC_0_0_12 | 53.1_TRTA_0_0_37
Estadisticas de Servicios Públicos. Base 1993. Valores mensuales.,Miles de pasajes,Actividad,M,5,Transporte de pasajeros dentro del servicio de cabotaje nacional de aeronavegacion comercial en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario interurbano en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario urbano en miles de pasajes | Transporte de pasajeros de servicios Subterráneos de Metrovías SA en miles de pasajes | Transporte de pasajeros del servicio de transporte automotor metropolitano en miles de pasajes,35.3_CNPSAC_1993_M_53 | 35.3_PSFI_1993_M_34 | 35.3_PSFU_1993_M_29 | 35.3_PSSM_1993_M_33 | 35.3_PSTAM_1993_M_39
Estadisticas de Servicios Públicos. Base 1993. Valores trimestrales.,Miles de pasajes,Actividad,T,5,Transporte de pasajeros dentro del servicio de cabotaje nacional de aeronavegacion comercial en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario interurbano en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario urbano en miles de pasajes | Transporte de pasajeros de servicios Subterráneos de Metrovías SA en miles de pasajes | Transporte de pasajeros del servicio de transporte automotor metropolitano en miles de pasajes,35.2_CNPSAC_1993_T_53 | 35.2_PSFI_1993_T_34 | 35.2_PSFU_1993_T_29 | 35.2_PSSMS_1993_T_36 | 35.2_PSTAM_1993_T_39
Estadísticas de Servicios Públicos. Base 1993. Valores anuales.,Miles de pasajes,Actividad,A,5,Transporte de pasajeros dentro del servicio de cabotaje nacional de aeronavegacion comercial en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario interurbano en miles de pasajes | Transporte de pasajeros del Servicio Ferroviario urbano en miles de pasajes | Transporte de pasajeros de servicios Subterráneos de Metrovías SA en miles de pasajes | Transporte de pasajeros del servicio de transporte automotor metropolitano en miles de pasajes,35.1_CNPSAC_1993_A_53 | 35.1_PSFI_1993_A_34 | 35.1_PSFU_1993_A_29 | 35.1_PSSM_1993_A_33 | 35.1_PSTAM_1993_A_39
Ingreso de la Inversión Extranjera Directa. Valores trimestrales,Millones de dólares,Sector Externo,T,5,Intereses generados del ingreso de inversión extranjera directa | Renta procedente de participaciones de capital Distribución de utilidades | Renta procedente de participaciones de capital Reinversión de utilidades | Total ingreso de inversión extranjera directa | Total Renta procedente de participaciones de capital,315.1_INTERESESSES_0_T_9 | 315.1_RENTA_PROCDAD_0_T_49 | 315.1_RENTA_PROCLID_0_T_45 | 315.1_TOTALTAL_0_T_5 | 315.1_TOTAL_RENTTAL_0_T_33
Principales tasas de Interés de Referencia de las principales economías del mundo. Valores mensuales,Porcentaje,Economía Internacional,M,5,FF (Federal Funds) - EE.UU - Tasa | MRO (Main Refinancing Operations) - Zona Euro - Tasa | Overnight Interest Rate - Japón - Tasa | Repo - Inglaterra - Tasa | Selic - Brasil - Tasa,131.1_FET_0_0_12 | 131.1_MZT_0_0_18 | 131.1_OIRJT_0_0_34 | 131.1_RIT_0_0_20 | 131.1_SBT_0_0_17
Series históricas de estadísticas monetarias de Argentina,Millones de dólares,Dinero y Bancos,M,5,Agregados USD M1 | Agregados USD M2 | Agregados USD M3 | Reservas Internacionales BCRA Saldos | Reservas Internacionales BCRA Promedio mensual de saldos diarios,174.1_AGADOS_M1_0_0_16 | 174.1_AGADOS_M2_0_0_16 | 174.1_AGADOS_M3_0_0_16 | 174.1_RRVAS_IDOS_0_0_36 | 174.1_RRVAS_IIOS_0_0_60
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores anuales,Millones de paquetes,Actividad,A,5,Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 1er cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 4to  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 3er  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 2do  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes,38.1_CIGARRILLOTIL_1994_A_23_47 | 38.1_CIGARRILLOTIL_1994_A_23_54 | 38.1_CIGARRILLOTIL_1994_A_23_70 | 38.1_CIGARRILLOTIL_1994_A_23_76 | 38.1_C_1994_A_11
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores mensuales,Millones de paquetes,Actividad,M,5,Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 3er cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 4to cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 2do cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes 1er cuartil | Ventas totales al mercado interno  Producción Nacional de Cigarrillos en millones de paquetes,38.3_CIGARRILLOTIL_1994_M_23_25 | 38.3_CIGARRILLOTIL_1994_M_23_30 | 38.3_CIGARRILLOTIL_1994_M_23_38 | 38.3_CIGARRILLOTIL_1994_M_23_40 | 38.3_C_1994_M_11
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores trimestrales,Millones de paquetes,Actividad,T,5,Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 2do  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 4to  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes del 3er  cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes 1er cuartil | Ventas al mercado interno de Producción Nacional de Cigarrillos en millones de paquetes,38.2_CIGARRILLOTIL_1994_T_23_24 | 38.2_CIGARRILLOTIL_1994_T_23_30 | 38.2_CIGARRILLOTIL_1994_T_23_31 | 38.2_CIGARRILLOTIL_1994_T_23_47 | 38.2_C_1994_T_11
Índice de Costo de la Construcción. Base 1993. Valores anuales,Índice 1993=100,Precios,A,5,ICC. Gastos generales. Base 1933. Anual | ICC. Mano de obra/Materiales. Base 1933. Anual | ICC. Mano de obra. Base 1933. Anual | ICC. Materiales. Base 1933. Anual | ICC. Nivel general. Base 1933. Anual,109.1_I1GG_1993_A_25 | 109.1_I1MOM_1993_A_29 | 109.1_I1MO_1993_A_18 | 109.1_I1M_1993_A_19 | 109.1_I1NG_1993_A_22
Índice de Costo de la Construcción. Base 1993. Valores mensual,Índice 1993=100,Precios,M,5,ICC. Gastos generales. Base 1933. Mensual | ICC. Mano de obra/Materiales. Base 1933. Mensual | ICC. Mano de obra. Base 1933. Mensual | ICC. Materiales. Base 1933. Mensual | ICC. Nivel general. Base 1933. Mensual,109.3_I1GG_1993_A_25 | 109.3_I1MOM_1993_A_29 | 109.3_I1MO_1993_A_18 | 109.3_I1M_1993_A_19 | 109.3_I1NG_1993_A_22
Índice de Costo de la Construcción. Base 1993. Valores trimestral,Índice 1993=100,Precios,T,5,ICC. Gastos generales. Base 1933. Trimestral | ICC. Mano de obra/Materiales. Base 1933. Trimestral | ICC. Mano de obra. Base 1933. Trimestral | ICC. Materiales. Base 1933. Trimestral | ICC. Nivel general. Base 1933. Trimestral,109.2_I1GG_1993_A_25 | 109.2_I1MOM_1993_A_29 | 109.2_I1MO_1993_A_18 | 109.2_I1M_1993_A_19 | 109.2_I1NG_1993_A_22
Índice de Precios Internos Básicos del Productor. Base 1993. SERIE DISCONTINUADA. Valores anuales,Índice 1993=100,Precios,A,5,IPP. Nivel general. Base 1993. Anual | IPP. Productos nacionales manufacturados y energía eléctrica. Base 1993. Anual | IPP. Productos nacionales primarios. Base 1993. Anual | IPP. Precios relativos Primarios/Manufacturados y energía eléctrica. Base 1993. Anual | IPP. Total productos nacionales. Base 1993. Anual,108.1_I1NG_1993_A_22 | 108.1_I1PNMEE_1993_A_53 | 108.1_I1PNP_1993_A_39 | 108.1_I1PRPMEE_1993_A_56 | 108.1_I1TPN_1993_A_35
Índice de Precios Internos Básicos del Productor. Base 1993. SERIE DISCONTINUADA. Valores trimestrales,Índice 1993=100,Precios,T,5,IPP. Nivel general. Base 1993. Trimestral | IPP. Productos nacionales manufacturados y energía eléctrica. Base 1993. Trimestral | IPP. Productos nacionales primarios. Base 1993. Trimestral | IPP. Precios relativos Primarios/Manufacturados y energía eléctrica. Base 1993. Trimestral | IPP. Total productos nacionales. Base 1993. Trimestral,108.2_I1NG_1993_T_22 | 108.2_I1PNMEE_1993_T_53 | 108.2_I1PNP_1993_T_39 | 108.2_I1PRPMEE_1993_T_56 | 108.2_I1TPN_1993_T_35
"Índice de Precios al Consumidor GBA, por grupos. Datos anuales. Base abril 2008.",Índice abr-2008=100,Precios,A,5,Índice de precios al consumidor estacionales. Anual | Índice de precios al consumidor nivel general. Anual | Índice de precios al consumidor regulados. Anual | Índice de precios al consumidor IPC resto. Anual | Índice de precios al consumidor precios relativos estacionales/ipc resto. Anual,99.1_IE_2008_0_16 | 99.1_ING_2008_0_17 | 99.1_IR_2008_0_13 | 99.1_IR_2008_0_9 | 99.1_PREIR_2008_0_40
Índice de salarios. Base octubre 2016.  Valores mensuales.,Índice,Empleo e Ingresos,M,5,Índice de Salarios. Empleo registrado. Sector privado. | Índice de Salarios. Empleo no registrado. Sector privado. | Índice de Salarios. Empleo registrado. Sector público. | Índice de Salarios | Índice de Salarios. Empleo registrado.,149.1_SOR_PRIADO_OCTU_0_25 | 149.1_SOR_PRIADO_OCTU_0_28 | 149.1_SOR_PUBICO_OCTU_0_14 | 149.1_TL_INDIIOS_OCTU_0_21 | 149.1_TL_REGIADO_OCTU_0_16
Índices Bursátiles de Argentina.,Índice,Mercados Financieros,D,5,Índice Bucarp del IAMC | Índice Bolsa G del IAMC | Índice Merval del IAMC | Índice Merval 25 del IAMC | Índice Merval Argentina del IAMC,169.1_BAPCAP_0_0_6 | 169.1_BA_GA_G_0_0_7 | 169.1_MALVAL_0_0_6 | 169.1_MAL_25_25_0_0_9 | 169.1_MAL_ARGARG_0_0_10
"Canasta Básica Alimentaria y Total por adulto equivalente, y Lineas de indigencia y pobreza desde 1988. GBA. Pesos corrientes. Valores mensuales",Pesos corrientes,Empleo e Ingresos,T,4,Canasta básica alimentaria desde 2000 hasta 2006. Pesos corrientes. | Canasta básica total desde 2000 hasta 2006. Pesos corrientes. | Línea de indigencia desde 2000 hasta 2006. Pesos corrientes. | Línea de pobreza desde 2000 hasta 2006. Pesos corrientes.,59.2_CBA_0_D_26 | 59.2_CBT_0_D_20 | 59.2_LI_0_D_16 | 59.2_LP_0_D_13
Captura pesquera por categorías. Valores anuales,Toneladas,Actividad,A,4,"Captura pesquera, total crustáceos, Anual en toneladas | Captura pesquera, total general, Anual en toneladas | Captura pesquera, total moluscos, Anual en toneladas | Captura pesquera, total peces, Anual en toneladas",39.1_TC_0_A_16 | 39.1_TG_0_A_13 | 39.1_TM_0_A_14 | 39.1_TP_0_A_11
Captura pesquera por categorías. Valores mensuales,Toneladas,Actividad,M,4,"Captura pesquera, total crustáceos, Mensual en toneladas | Captura pesquera, total general, Mensual en toneladas | Captura pesquera, total moluscos, Mensual en toneladas | Captura pesquera, total peces, Mensual en toneladas",39.3_TC_0_M_16 | 39.3_TG_0_M_13 | 39.3_TM_0_M_14 | 39.3_TP_0_M_11
Captura pesquera por categorías. Valores trimestrales,Toneladas,Actividad,T,4,"Captura pesquera, total crustáceos, Trimestral en toneladas | Captura pesquera, total general, Trimestral en toneladas | Captura pesquera, total moluscos, Trimestral en toneladas | Captura pesquera, total peces, Trimestral en toneladas",39.2_TC_0_T_16 | 39.2_TG_0_T_13 | 39.2_TM_0_T_14 | 39.2_TP_0_T_11
Datos producción y ventas de biocombustibles. Datos anuales,Toneladas,Actividad,A,4,Biodisel exportaciones | Biodisel otras ventas al mercado interno | Biodisel producción | Biodisel ventas al corte,368.1_BIODISEL_ENES__22 | 368.1_BIODISEL_ORNO__40 | 368.1_BIODISEL_PION__19 | 368.1_BIODISEL_VRTE__24
Datos producción y ventas de biocombustibles. Datos mensuales,Toneladas,Actividad,M,4,Biodisel exportaciones | Biodisel otras ventas al mercado interno | Biodisel producción | Biodisel ventas al corte,368.3_BIODISEL_ENES__22 | 368.3_BIODISEL_ORNO__40 | 368.3_BIODISEL_PION__19 | 368.3_BIODISEL_VRTE__24
Datos producción y ventas de biocombustibles. Datos trimestrales,Toneladas,Actividad,T,4,Biodisel exportaciones | Biodisel otras ventas al mercado interno | Biodisel producción | Biodisel ventas al corte,368.2_BIODISEL_ENES__22 | 368.2_BIODISEL_ORNO__40 | 368.2_BIODISEL_PION__19 | 368.2_BIODISEL_VRTE__24
Faena pecuaria por especie. Valores anuales,Cabezas,Actividad,A,4,"Cantidad de aves procesadas, Anual | Faena de cabezas ovinos, Anual | Faena de cabezas porcinas, Anual | Faena de cabezas vacunas, Anual",40.1_AC_0_A_12 | 40.1_OC_0_A_14 | 40.1_PC_0_A_16 | 40.1_VC_0_A_15
Faena pecuaria por especie. Valores mensuales,Cabezas,Actividad,M,4,"Cantidad de aves procesadas, Anual | Faena de cabezas vacunas, Anual | Faena de cabezas porcinas, Anual | Faena pecuaria, vacunos, Mensual en cabezas",40.3_AC_0_M_12 | 40.3_OC_0_M_14 | 40.3_PC_0_M_16 | 40.3_VC_0_M_15
Faena pecuaria por especie. Valores trimestrales,Cabezas,Actividad,T,4,"Cantidad de aves procesadas, Anual | Faena de cabezas ovinos, Anual | Faena de cabezas porcinas, Anual | Faena de cabezas vacunas, Anual",40.2_AC_0_T_12 | 40.2_OC_0_T_14 | 40.2_PC_0_T_16 | 40.2_VC_0_T_15
Población empleada total por aglomerado urbano de la Encuesta de Indicadores Laborales. Valores anuales.,Índice,Empleo e Ingresos,A,4,Índice del Empleo en el Gran Buenos Aires de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Cordoba de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Mendoza de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Rosario de la Encuesta de Indicadores Laborales,51.1_IGBA_0_0_24 | 51.1_IGC_0_0_19 | 51.1_IGM_0_0_19 | 51.1_IGR_0_0_19
Población empleada total por aglomerado urbano de la Encuesta de Indicadores Laborales. Valores mensuales,Índice,Empleo e Ingresos,M,4,Índice del Empleo en el Gran Cordoba de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Mendoza de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Buenos Aires de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Rosario de la Encuesta de Indicadores Laborales,51.3_ICE_GRAOBA_0_M_19 | 51.3_ICE_GRAOZA_0_M_19 | 51.3_ICE_GRARES_0_M_24 | 51.3_ICE_GRARIO_0_M_19
Población empleada total por aglomerado urbano de la Encuesta de Indicadores Laborales. Valores trimestrales,Índice,Empleo e Ingresos,T,4,Índice del Empleo en el Gran Buenos Aires de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Cordoba de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Mendoza de la Encuesta de Indicadores Laborales | Índice del Empleo en el Gran Rosario de la Encuesta de Indicadores Laborales,51.2_IGBA_0_0_24 | 51.2_IGC_0_0_19 | 51.2_IGM_0_0_19 | 51.2_IGR_0_0_19
Población empleada total y por sector de actividad de la Encuesta de Indicadores Laborales. Valores anuales.,Índice,Empleo e Ingresos,A,4,Índice del Empleo en el Comercio y Servicios de la Encuesta de Indicadores Laborales | Índice del Empleo en la Construcción de la Encuesta de Indicadores Laborales | Índice del Empleo en la Industria de la Encuesta de Indicadores Laborales | Índice del Empleo total de la Encuesta de Indicadores Laborales,50.1_ICS_0_0_25 | 50.1_IC_0_0_19 | 50.1_II_0_0_16 | 50.1_IT_0_0_12
Población empleada total y por sector de actividad de la Encuesta de Indicadores Laborales. Valores mensuales.,Índice,Empleo e Ingresos,M,4,Índice del Empleo total de la Encuesta de Indicadores Laborales | Índice del Empleo en la Industria de la Encuesta de Indicadores Laborales | Índice del Empleo en la Construcción de la Encuesta de Indicadores Laborales | Índice del Empleo en el Comercio y Servicios de la Encuesta de Indicadores Laborales,50.3_ICS_0_M_12 | 50.3_ICS_0_M_16 | 50.3_ICS_0_M_19 | 50.3_ICS_0_M_25
Población empleada total y por sector de actividad de la Encuesta de Indicadores Laborales. Valores trimestrales.,Índice,Empleo e Ingresos,T,4,Índice del Empleo en el Comercio y Servicios de la Encuesta de Indicadores Laborales | Índice del Empleo en la Construcción de la Encuesta de Indicadores Laborales | Índice del Empleo en la Industria de la Encuesta de Indicadores Laborales | Índice del Empleo total de la Encuesta de Indicadores Laborales,50.2_ICS_0_0_25 | 50.2_IC_0_0_19 | 50.2_II_0_0_16 | 50.2_IT_0_0_12
"Poder de compra de las exportaciones de bienes y ganancia o pérdida del intercambio, Valores anuales.Base 2004",Millones de dólares de 2004,Sector Externo,A,4,Exportaciones en millones de dolares | Ganancia (o perdida) del intercambio en millones de dolares | Poder de compra de las exportaciones en millones de dolares | Variacion respecto del período anterior,83.1_EMD_2004_A_30 | 83.1_GPIMD_2004_A_45 | 83.1_PCEMD_2004_A_43 | 83.1_VPA_2004_A_26
Principales subgrupos de recaudación tributaria. Millones de pesos. Datos mensuales,Millones de pesos,Finanzas Públicas,M,4,Recaudación DGA. Anuales | Recaudación DGI. Anuales | Recaudación Seguridad Social. Anuales | Total recaudación. Anuales,172.3_SOTAL_DDGA_M_0_0_12 | 172.3_SOTAL_DDGI_M_0_0_12 | 172.3_SRIDAD_IAL_M_0_0_16 | 172.3_TL_RECAION_M_0_0_17
Principales subgrupos de recaudación tributaria. Millones de pesos. Datos trimestrales,Millones de pesos,Finanzas Públicas,T,4,Recaudación DGA. Anuales | Recaudación DGI. Anuales | Recaudación Seguridad Social. Anuales | Total recaudación. Anuales,172.2_SOTAL_DDGA_T_0_0_12 | 172.2_SOTAL_DDGI_T_0_0_12 | 172.2_SRIDAD_IAL_T_0_0_16 | 172.2_TL_RECAION_T_0_0_17
Principales subgrupos de recaudación tributaria. Millones de pesos. Datos trimestrales,Porcentaje,Finanzas Públicas,T,4,Recaudación DGA. Variación interanual | Recaudación DGI. Variación interanual | Recaudación Seguridad Social. Variación interanual | Total recaudación. Variación interanual,172.2_SOTAL_D_IAR_T_0_0_19 | 172.2_SOTAL_D_IA_T_0_0_19 | 172.2_SRIDAD_IA_T_0_0_23 | 172.2_TL_RECA_IA_T_0_0_24
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores anuales,Miles de M3,Actividad,A,4,Ventas al mercado interno de Producción Nacional de nafta comun en milles de metros cubicos | Ventas al mercado interno de Producción Nacional de nafta super en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Nafta ultra en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Naftas en miles de metros cubicos,38.1_NC_1994_A_11 | 38.1_NS_1994_A_11 | 38.1_NU_1994_A_11 | 38.1_N_1994_A_6
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores mensuales,Miles de M3,Actividad,M,4,Ventas al mercado interno de Producción Nacional de nafta comun en milles de metros cubicos | Ventas al mercado interno de Producción Nacional de nafta super en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Nafta ultra en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Naftas en miles de metros cubicos,38.3_NC_1994_M_11 | 38.3_NS_1994_M_11 | 38.3_NU_1994_M_11 | 38.3_N_1994_M_6
Ventas al Mercado Interno de Producción Nacional. Base 1994. Valores trimestrales,Miles de M3,Actividad,T,4,Ventas al mercado interno de Producción Nacional de nafta comun en milles de metros cubicos | Ventas al mercado interno de Producción Nacional de nafta super en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Nafta ultra en miles de metros cubicos | Ventas al mercado interno de Producción Nacional de Naftas en miles de metros cubicos,38.2_NC_1994_T_11 | 38.2_NS_1994_T_11 | 38.2_NU_1994_T_11 | 38.2_N_1994_T_6
Índice de Precios al Consumidor GBA. Bienes y servicios. Base 2008. Valores anuales,Índice abr-2008=100,Precios,A,4,IPC Servicios/Bienes Base Abril 2008. Anual | IPC Bienes Base Abril 2008. Anual | IPC Nivel General Base Abril 2008. Anual | IPC Servicios Base Abril 2008. Anual,96.1_IBS_2008_A_20 | 96.1_IB_2008_A_10 | 96.1_ING_2008_A_17 | 96.1_IS_2008_A_13
Índice de Precios al Consumidor GBA. Bienes y servicios. Base 2008. Valores mensuales,Porcentaje,Precios,M,4,IPC Servicios/Bienes. Variación % mensual | IPC Bienes. Variación % mensual | IPC Nivel General. Variación % mensual | IPC Servicios. Variación % mensual,96.3_IBSV_2008_M_23 | 96.3_IBV_2008_M_13 | 96.3_INGV_2008_M_20 | 96.3_ISV_2008_M_16
Índice de Precios al Consumidor GBA. Bienes y servicios. Base 2008. Valores mensuales,Índice abr-2008=100,Precios,M,4,IPC Servicios/Bienes Base Abril 2008. Mensual | IPC Bienes Base Abril 2008. Mensual | IPC Nivel General Base Abril 2008. Mensual | IPC Servicios Base Abril 2008. Mensual,96.3_IBS_2008_M_22 | 96.3_IB_2008_M_12 | 96.3_ING_2008_M_19 | 96.3_IS_2008_M_15
Índice de Precios al Consumidor GBA. Bienes y servicios. Base 2008. Valores trimestrales,Índice abr-2008=100,Precios,T,4,IPC Servicios/Bienes Base Abril 2008. Trimestral | IPC Bienes Base Abril 2008. Trimestral | IPC Nivel General Base Abril 2008. Trimestral | IPC Servicios Base Abril 2008. Trimestral,96.2_IBS_2008_T_22 | 96.2_IB_2008_T_12 | 96.2_ING_2008_T_19 | 96.2_IS_2008_T_15
"Índice de Precios al Consumidor, por categorías. Base diciembre 2016. Valores mensuales",Índice Dic-2016=100,Precios,M,4,IPC-GBA. Estacionales. Base abr 2016. Mensual | IPC-GBA. Núcleo. Base abr 2016. Mensual | IPC-GBA. Nivel General. Base abr 2016. Mensual | IPC-GBA. Regulados. Base abr 2016. Mensual,103.1_I2E_2016_M_21 | 103.1_I2N_2016_M_15 | 103.1_I2N_2016_M_19 | 103.1_I2R_2016_M_18
"Índice de Precios al Consumidor, por categorías. Base diciembre 2016. Valores trimestrales",Índice,Precios,T,4,IPC-GBA. Estacionales. Base dic 2016. Trimestral | IPC-GBA. Núcleo. Base dic 2016. Trimestral | IPC-GBA. Nivel General. Base dic 2016. Trimestral | IPC-GBA. Regulados. Base dic 2016. Trimestral,103.2_I2016_ELES_2016_T_21 | 103.2_I2016_NLEO_2016_T_15 | 103.2_I2016_NRAL_2016_T_19 | 103.2_I2016_RDOS_2016_T_18
Índices de precios internacionales de productos básicos. Datos anuales,Dólares por barril,Precios,A,4,Petróleo Brent. US$ por barril. Anual | Petróleo Dubai. US$ por barril. Anual | Petróleo WTI. US$ por barril. Anual | Petróleo. US$ por barril. Anual,121.1_PB_0_0_14 | 121.1_PD_0_0_14 | 121.1_PW_0_0_12 | 121.1_P_0_0_16
Índices de precios internacionales de productos básicos. Datos anuales,Dólares por m3,Precios,A,4,Madera blanda aserrada. US$ por m3. Anual | Madera dura aserrada. US$ por m3. Anual | Tronco de madera blanda. US$ por m3. Anual | Tronco de madera dura. US$ por m3. Anual,121.1_MBA_0_0_22 | 121.1_MDA_0_0_20 | 121.1_TMB_0_0_20 | 121.1_TMD_0_0_18
Índices de precios internacionales de productos básicos. Datos mensuales,Dólares por barril,Precios,M,4,Petróleo Brent. US$ por barril. Mensual | Petróleo Dubai. US$ por barril. Mensual | Petróleo WTI. US$ por barril. Mensual | Petróleo. US$ por barril. Mensual,121.3_PB_0_0_14 | 121.3_PD_0_0_14 | 121.3_PW_0_0_12 | 121.3_P_0_0_16
Índices de precios internacionales de productos básicos. Datos mensuales,Dólares por m3,Precios,M,4,Madera blanda aserrada. US$ por m3. Mensual | Madera dura aserrada. US$ por m3. Mensual | Tronco de madera blanda. US$ por m3. Mensual | Tronco de madera dura. US$ por m3. Mensual,121.3_MBA_0_0_22 | 121.3_MDA_0_0_20 | 121.3_TMB_0_0_20 | 121.3_TMD_0_0_18
Índices de precios internacionales de productos básicos. Datos trimestrales,Dólares por barril,Precios,T,4,Petróleo Brent. US$ por barril. Trimestral | Petróleo Dubai. US$ por barril. Trimestral | Petróleo WTI. US$ por barril. Trimestral | Petróleo. US$ por barril. Trimestral,121.2_PB_0_0_14 | 121.2_PD_0_0_14 | 121.2_PW_0_0_12 | 121.2_P_0_0_16
Índices de precios internacionales de productos básicos. Datos trimestrales,Dólares por m3,Precios,T,4,Madera blanda aserrada. US$ por m3. Trimestral | Madera dura aserrada. US$ por m3. Trimestral | Tronco de madera blanda. US$ por m3. Trimestral | Tronco de madera dura. US$ por m3. Trimestral,121.2_MBA_0_0_22 | 121.2_MDA_0_0_20 | 121.2_TMB_0_0_20 | 121.2_TMD_0_0_18
"Cantidad de pernoctaciones y viajeros, residentes y no residentes",Noches,Actividad,M,3,EOH. Pernoctaciones totales | EOH. Pernoctaciones residentes | EOH. Pernoctaciones no residentes,457.1_PERNOCTACILES_0_M_22_51 | 457.1_PERNOCTACITES_0_M_25_49 | 457.1_PERNOCTACITES_0_M_28_56
"Cantidad de pernoctaciones y viajeros, residentes y no residentes",Personas,Actividad,M,3,EOH. Viajeros no residentes | EOH. Viajeros residentes | EOH. Viajeros totales,457.1_VIAJEROS_NTES_0_M_22_86 | 457.1_VIAJEROS_RTES_0_M_19_94 | 457.1_VIAJEROS_TLES_0_M_16_50
EMAE. Índice Base 1993. Valores mensuales.,Variación Porcentual,Actividad,M,3,"Variación % del EMAE respecto al mismo período del año anterior (para Mensuales) | Variación % del EMAE respecto mes anterior (para Mensuales) | Variación % del EMAE respecto mes anterior (para Mensuales), tendencia suavizada",10.3_VIPAA_1993_M_31 | 10.3_VMASO_1993_M_31 | 10.3_VMATS_1993_M_36
EMAE. Índice Base 1993. Valores mensuales.,Índice 1993=100,Actividad,M,3,"Serie desestacionalizada EMAE en Mensual (base 1993) | Serie original EMAE en Mensual. Índice (base 1993) | Serie desestacionalizada EMAE, Mensual (base 1993), tendencia suavizada",10.3_ISD_1993_M_31 | 10.3_ISOM_1993_M_29 | 10.3_ITS_1993_M_26
EMAE. Índice Base 2004.Valores anuales.,Índice 2004=100,Actividad,A,3,EMAE. Base 2004 | EMAE tendencia cliclo. Base 2004 | EMAE desestacionalizado. Base 2004,143.1_NO_PR_2004_A_21 | 143.1_NO_PR_2004_A_28 | 143.1_NO_PR_2004_A_31
